Артикул,Описание,Название товара,Размер,Фото по ссылке,Цена,Наличие,Отображать на сайте
4796,"Размер 48-54
3-10 лет
Шлем
зима
верх акрил+шерсть
подклад микроплюш
",Зимний шлем Bear серый 4796,"48-54
 - 9 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-bear-siriy-4796-8310-1051x1051.jpg,280грн.,На складе,Да
4795,"Размер 48-54
3-10 лет
Шлем
зима
верх акрил+шерсть
подклад микроплюш
",Зимний шлем Bear розовый 4795,"48-54
 - 15 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-bear-rozheviy-4795-8309-1051x1051.jpg,280грн.,На складе,Да
4793,"Размер 48-54
3-10 лет
Шлем
зима
верх акрил+шерсть
подклад микроплюш
",Зимний шлем Bear желтый 4793,"48-54
 - 14 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-bear-zhovtiy-4793-8308-1051x1051.jpg,280грн.,На складе,Да
4712,"Комплект
шапка+шарф
зима
шерсть+меховушка
высота 19 см, ширина 18 см
",Зимний комплект шапка+шарф черный Star 4712,"46-50
 - 3 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-komplekt-shapkasharf-chorniy-star-4712-8227-1051x1051.jpg,300грн.,На складе,Да
4711,"Комплект
шапка+шарф
зима
шерсть+меховушка
высота 19 см, ширина 18 см
",Зимний комплект шапка+шарф темно-синий Star 4711,"46-50
 - 4 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-komplekt-shapkasharf-temno-siniy-star-4711-8226-1051x1051.jpg,300грн.,На складе,Да
4710,"Комплект
шапка+шарф
зима
шерсть+меховушка
высота 19 см, ширина 18 см
",Зимний комплект шапка+шарф бордо Star 4710,"46-50
 - 7 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-komplekt-shapkasharf-bordo-star-4710-8225-1051x1051.jpg,300грн.,На складе,Да
4709,"Комплект
шапка+шарф
зима
шерсть+меховушка
высота 19 см, ширина 18 см
",Зимний комплект шапка+шарф серый Star 4709,"46-50
 - 3 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-komplekt-shapkasharf-siriy-star-4709-8224-1051x1051.jpg,300грн.,На складе,Да
4708,"Комплект
шапка+шарф
зима
шерсть+меховушка
высота 19 см, ширина 18 см
",Зимний комплект шапка+шарф синий Star 4708,"46-50
 - 6 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-komplekt-shapkasharf-siniy-star-4708-8223-1051x1051.jpg,300грн.,На складе,Да
4706,"Комплект
шапка+шарф
зима
шерсть+меховушка
высота 19 см, ширина 18 см
",Зимний комплект шапка+шарф желтый Star 4706,"46-50
 - 5 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-komplekt-shapkasharf-zhovtiy-star-4706-8222-1051x1051.jpg,300грн.,На складе,Да
4776,"Размер 48-54
3-10 лет
Шлем
зима
верх акрил+шерсть
подклад микроплюш
",Зимний шлем Deer беж 4776,"48-54
 - 3 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/zimoviy-sholom-deer-bezh-4776-8175-1051x1051.jpg,280грн.,На складе,Да
